id,x,y
"0",121.6432886780,25.0389516693
"1",121.4099134039,24.9653057320
"2",121.4909001446,25.1864265018
"3",121.6424857776,25.1124744156
"4",121.6826355653,25.0596613326
"5",121.4876937257,24.8589806117
"6",121.7230786285,25.0160118601
"7",121.6130168783,25.1910157874
"8",121.6581026642,25.0775044292
"9",121.3875756118,24.8421135276
"10",121.7981580848,25.1074952516
"11",121.8869796622,25.1011186187
"12",121.4287979941,25.0694657558
"13",121.6904451172,25.0428112735
"14",121.3412205976,24.9233823760
"15",121.4678318193,24.9661276309
"16",121.4436337217,25.1947249479
"17",121.6762234240,25.0759228821
"18",121.6416212004,25.1817483812
"19",121.4011745082,24.8844609256
"20",121.4624948533,24.8904373508
"21",121.4610918417,24.9217244906
"22",121.7328145929,25.0174044233
"23",121.4583894553,25.2518199415
"24",121.5745963725,25.2129359869
"25",121.4450239581,25.1510602777
"26",121.8381707998,25.0918319403
"27",121.6129572632,25.1287192901
"28",121.4762968749,24.8305061000
"29",121.4213529638,25.0727397727
"30",121.5218828251,25.1538984506
"31",121.6457520271,25.1976433334
"32",121.5268705531,25.2263463085
"33",121.3265497496,24.9358346892
"34",121.6687008852,25.1792371717
"35",121.4100272163,24.9943096640
"36",121.5766824725,25.2637293341
"37",121.5498032233,25.2816402399
"38",121.5325458592,25.1623181563
"39",121.4022018487,24.9941132224
"40",121.3935188119,25.1124760039
"41",121.3998813370,24.8840756724
"42",121.4450201452,24.8820014715
"43",121.5125116744,25.2460104661
"44",121.7907942995,25.0730507267
"45",121.4314071090,24.9133902516
"46",121.5285588060,25.2028136356
"47",121.4233899420,25.0946821930
"48",121.7374599092,24.9913057865
"49",121.4564364949,24.9432591486
"50",121.4531651371,25.1663556515
"51",121.5649287682,25.2879299265
"52",121.3923144685,24.9737530902
"53",121.4337977498,25.1178356639
"54",121.4461315273,25.1369745372
"55",121.6255517869,25.0733259574
"56",121.5046188562,25.1657463685
"57",121.6289223044,25.0039807692
"58",121.4496960238,24.9221451229
"59",121.4645173326,24.8819637422
"60",121.4299384374,24.8903118528
"61",121.6050723494,25.2373680261
"62",121.6243895542,24.9816474490
"63",121.6142437610,24.9981221857
"64",121.6419309455,25.2305645012
"65",121.4082902874,24.9334233716
"66",121.5979770519,25.1734791780
"67",121.3903822940,24.9106938403
"68",121.6334452261,25.1270751616
"69",121.4638310929,24.8762960581
"70",121.7853372956,25.0578875529
"71",121.4009469051,24.8804420883
"72",121.5682797854,25.2112073818
"73",121.3971939236,25.1155954408
"74",121.4136517178,25.0638082844
"75",121.6521969775,25.1946495498
"76",121.5544617012,25.2479398387
"77",121.6460933780,25.1550645269
"78",121.6277181351,25.2644503577
"79",121.6207298208,24.9846896950
"80",121.4245217866,25.2000317274
"81",121.4290596212,25.0749629645
"82",121.4533465434,24.9393885129
"83",121.5685422605,25.1913812141
"84",121.4922591696,24.8561895812
"85",121.4333818176,24.8529157428
"86",121.4471477403,25.0625052127
"87",121.6174887402,24.9788013739
"88",121.4095619028,24.8461030171
"89",121.7735401157,25.1137277456
"90",121.9116411529,25.1219122607
"91",121.4007843048,25.0959157966
"92",121.6209385325,25.0688816041
"93",121.3454222184,24.9674046300
"94",121.4458563425,24.9541181583
"95",121.4584094913,24.9634326360
"96",121.4386947545,24.9041157390
"97",121.4663753641,24.9742296883
"98",121.5149905923,25.1369902933
"99",121.7192640473,25.0399239085
"100",121.5054022872,25.2621177412
"101",121.4061773332,24.8592052022
"102",121.4010434825,24.9511825705
"103",121.3263200850,24.9213186165
"104",121.4507514468,25.1792504970
"105",121.6944856344,25.2094905297
"106",121.3380558590,24.9086248486
"107",121.5706771149,25.2152183815
"108",121.7465472142,25.0297852603
"109",121.5289074715,25.2742607666
"110",121.4482031568,25.1522230943
"111",121.6473076379,25.1088781158
"112",121.6760734762,25.2044142874
"113",121.5911818028,25.2132542212
"114",121.5342232801,25.2630241991
"115",121.8182326454,25.1233943829
"116",121.5312688336,25.2855772807
"117",121.3474750242,24.9027975359
"118",121.3992444854,24.9194672840
"119",121.5211168650,25.1945560172
"120",121.4099511126,25.0622913461
"121",121.7103615163,25.0445457731
"122",121.3645184980,24.9608821722
"123",121.5095031640,25.1678812672
"124",121.4367446610,25.1253917214
"125",121.5443947202,25.1742407285
"126",121.4484103900,25.0689409725
