id,x,y
"0",121.5706889437,25.0414282665
"1",121.5659222052,25.0301580062
"2",121.5590430301,25.0309727013
"3",121.5753115686,25.0275919059
"4",121.5228750512,25.0614060977
"5",121.5325668035,25.0047938639
"6",121.5171425621,24.9905526442
"7",121.4965314970,24.9958388174
"8",121.5240375026,25.0130128091
"9",121.5623371341,25.0283455085
"10",121.4822128265,24.9998292915
"11",121.5088044191,25.0153974122
"12",121.5656842261,25.0350608882
"13",121.5286179041,25.0078729602
"14",121.4900399351,24.9845231521
"15",121.5769469676,25.0343340601
"16",121.4595357254,25.0024893270
"17",121.5729500726,25.0267811241
"18",121.4745199875,25.0293803113
"19",121.5430202641,25.0724779378
"20",121.5802497832,25.0225709730
"21",121.5864430341,25.0288471736
"22",121.5584945067,25.0833811042
"23",121.5139861477,25.0468760288
"24",121.4491925622,24.9939245240
"25",121.4826671505,25.0282596512
"26",121.5715671053,25.0182757978
"27",121.4998269579,25.0013622814
"28",121.5347499397,25.0729856885
"29",121.5415233149,25.0119589934
"30",121.5684068852,25.0630582420
"31",121.5627204892,25.0289078615
"32",121.4672015590,25.0005777653
"33",121.5256226952,25.0664156423
"34",121.5645609344,25.0130822292
"35",121.5499805481,25.0309958624
"36",121.5420791873,25.0151512445
"37",121.4785294833,25.0171821657
"38",121.5124424410,25.0309439045
"39",121.4530082678,25.0307215140
"40",121.5591371899,25.0777848831
"41",121.5797348814,25.0341485142
"42",121.5511059250,25.0431720846
"43",121.5261793921,25.0755405584
"44",121.5311713191,25.0224060590
"45",121.5208960208,25.0169875267
"46",121.4947330189,24.9803408931
"47",121.5184277310,25.0043518648
"48",121.4803233785,24.9715506186
"49",121.5359449652,25.0399460166
"50",121.4530001531,24.9945209287
"51",121.5559881783,25.0436886901
"52",121.4694651158,25.0156350886
"53",121.4687340663,25.0312729808
"54",121.5017069603,25.0050366659
"55",121.5810597606,25.0259495624
"56",121.4818215572,25.0012486569
"57",121.5429862628,25.0168050879
"58",121.4557457785,25.0228650447
"59",121.4589182120,25.0161668128
"60",121.5783241965,25.0457351702
"61",121.5212439814,24.9989575187
"62",121.5242206949,25.0403642004
"63",121.5407033192,25.0237161339
"64",121.5025465680,25.0049943399
"65",121.4518025617,25.0291173880
"66",121.4561121407,24.9991658407
"67",121.5726371018,25.0193691722
"68",121.5342221591,25.0137930907
"69",121.4269747314,24.9805031946
"70",121.5062670020,25.0122462939
"71",121.5255777605,25.0798146850
"72",121.5498556948,25.0359255729
"73",121.5445361384,25.0337250574
"74",121.5133884862,25.0464272505
"75",121.4692340673,25.0155035922
"76",121.5066865556,25.0140326949
"77",121.5352378497,25.0126399570
"78",121.4619394037,24.9989680543
"79",121.4629168181,25.0009293464
"80",121.5226925356,24.9972275118
"81",121.5589162594,25.0657182606
"82",121.4812097007,25.0241062733
"83",121.4672460001,25.0311650240
"84",121.5274458760,25.0680432061
"85",121.5253739251,25.0417148712
"86",121.5493449233,25.0142774998
"87",121.5085591021,25.0411333208
"88",121.5580199972,25.0742388495
"89",121.5658237330,25.0727140409
"90",121.5652118138,25.0553402402
"91",121.4648495774,25.0059413242
"92",121.5119283133,25.0491513326
"93",121.5478009341,25.0579848314
"94",121.4580412272,25.0199269081
"95",121.5565931186,25.0776578661
"96",121.4914562028,25.0056879756
"97",121.4275597698,24.9904117382
"98",121.5484027744,25.0780850303
"99",121.5022983039,24.9931930267
"100",121.5550161299,25.0766203376
"101",121.4730432495,25.0070796256
"102",121.4607691960,24.9898872659
"103",121.5355355148,25.0813677786
"104",121.4852966977,25.0125934000
"105",121.4783629524,24.9948403940
"106",121.5104854145,24.9791913874
"107",121.4871736033,25.0001919313
"108",121.5260782210,25.0702842125
"109",121.4772979772,25.0132544243
"110",121.5285527455,25.0656891118
"111",121.5724653553,25.0234010194
"112",121.4805375677,25.0188908498
"113",121.5405508535,25.0683401813
"114",121.5264204387,25.0109964633
"115",121.5359124504,25.0831048564
"116",121.4934358707,24.9863109734
"117",121.5445258951,25.0228710483
"118",121.5504176245,25.0254858805
"119",121.4440304541,25.0000843014
"120",121.5551776583,25.0810159411
"121",121.5608022508,25.0801279828
"122",121.5583559930,25.0398118158
"123",121.5100356454,25.0272822035
"124",121.5782419122,25.0264047980
"125",121.5757684347,25.0246043175
"126",121.5324549123,25.0201452729
"127",121.5522284994,25.0603208215
"128",121.5802027017,25.0297017244
"129",121.5459958121,25.0293342881
"130",121.4975906958,24.9981199220
"131",121.4454739258,24.9917419883
"132",121.5654304749,25.0129863843
"133",121.4914017011,24.9977088708
"134",121.5823488414,25.0242366812
"135",121.5484217036,25.0464739425
"136",121.5236542767,24.9877619556
"137",121.5665076416,25.0187933966
"138",121.4697981395,25.0177586119
"139",121.4651740457,24.9923107925
"140",121.5306530389,25.0842607786
"141",121.4786673554,24.9666235778
"142",121.5316634515,25.0518207986
"143",121.5443636421,25.0707517682
"144",121.5376987609,25.0097130380
"145",121.4718086026,25.0188146884
"146",121.5248846590,25.0065986071
"147",121.5781988976,25.0163713225
"148",121.4955112188,24.9724681580
"149",121.4647790788,24.9970822567
"150",121.5397101088,25.0228881409
"151",121.5531047785,25.0208344347
"152",121.4685973433,24.9943779527
"153",121.5344159969,25.0679689526
"154",121.5391009523,25.0245476679
"155",121.4984673350,24.9764668471
"156",121.5261134229,25.0417495097
"157",121.4485970299,24.9963935828
"158",121.5181530437,25.0225480976
"159",121.4813406510,24.9952172971
"160",121.5382116313,25.0654562499
"161",121.5474633966,25.0875547497
"162",121.5284060643,25.0070102665
"163",121.5271981784,25.0297674757
"164",121.4350818664,24.9878470830
"165",121.4698362038,25.0076522342
"166",121.5368544205,25.0144001301
"167",121.5684718886,25.0443865830
"168",121.5424349856,25.0173987858
"169",121.5797416090,25.0475438648
"170",121.4844942743,25.0218117422
"171",121.4983101723,24.9911893463
"172",121.5081424228,25.0059333553
"173",121.4570007711,25.0222163319
"174",121.5367339596,25.0334935583
"175",121.4886043867,24.9814073731
"176",121.5354968583,25.0530714943
"177",121.5623734186,25.0409594532
"178",121.4671700722,25.0338044061
"179",121.5674405788,25.0128478093
"180",121.5798785950,25.0294010746
"181",121.4615347948,25.0119285979
"182",121.4502100047,24.9991163190
"183",121.5465695374,25.0558192575
"184",121.4600235132,25.0059585498
"185",121.5700984404,25.0676158941
"186",121.4852418916,24.9936629029
"187",121.4735709129,25.0263975558
"188",121.4767024395,25.0104529685
"189",121.5395156268,25.0646646182
"190",121.5145623077,25.0274120935
"191",121.5261784012,24.9910663760
"192",121.5493887048,25.0177595906
"193",121.5485775549,25.0397159940
"194",121.5574349896,25.0838699755
"195",121.5349914806,25.0886392886
"196",121.5593365146,25.0732986790
"197",121.4390180213,24.9984251255
"198",121.5062621974,25.0173048218
"199",121.5337716326,25.0567826826
"200",121.4798844753,25.0254602838
"201",121.4864771622,24.9727564741
"202",121.5033443055,25.0048456228
"203",121.5134937733,25.0370795104
"204",121.4297617820,24.9914703059
"205",121.5221344424,25.0551951202
"206",121.5219794044,24.9900482448
"207",121.4922863534,24.9924655761
"208",121.5119779978,25.0298101265
"209",121.4566081141,25.0042110808
"210",121.5631539239,25.0306517553
"211",121.5084883587,24.9939983526
"212",121.4791756835,25.0353982722
"213",121.4819017214,25.0194368009
"214",121.5240237749,25.0066847876
"215",121.4572585011,25.0237086641
"216",121.4671960701,25.0023760653
"217",121.5302771091,25.0740432503
"218",121.4604873930,25.0266654906
"219",121.5329901356,25.0624724718
"220",121.5379790438,25.0224381969
"221",121.5673731516,25.0743470550
"222",121.4627215309,24.9956156786
"223",121.4945790561,24.9899104032
"224",121.5747739886,25.0382156690
"225",121.4559617125,24.9969741186
"226",121.5072867445,25.0014915245
"227",121.4329449510,24.9821839021
"228",121.5786249058,25.0491297126
"229",121.4747985120,25.0281950527
"230",121.5034425998,24.9814296898
"231",121.4908098643,25.0005821212
"232",121.5601131289,25.0427409722
"233",121.4734623801,25.0254994092
"234",121.4692435833,25.0037041042
"235",121.5555860621,25.0298950355
"236",121.4808480344,24.9655217980
"237",121.5081898152,25.0359639311
"238",121.4999991534,24.9748668411
"239",121.5686253749,25.0328738318
"240",121.4528802579,25.0113920112
"241",121.4992241044,24.9824503118
"242",121.4695957945,25.0367531200
"243",121.4911235165,24.9816297584
"244",121.5178050383,24.9949538136
"245",121.4705968623,25.0072585481
"246",121.5629021184,25.0733048605
"247",121.5787936914,25.0267167601
"248",121.5683408013,25.0486225364
"249",121.4723263139,25.0125196460
"250",121.4257817797,24.9881655177
"251",121.4500665083,25.0206863973
"252",121.5695420501,25.0559617129
"253",121.5272243649,25.0119799099
"254",121.5444744176,25.0644030223
"255",121.5770376250,25.0248023214
"256",121.4524539315,25.0082326377
"257",121.5509573819,25.0352144908
"258",121.4845578213,24.9741197977
"259",121.5510844198,25.0850287046
"260",121.5321274432,25.0503198443
"261",121.4344875059,24.9967518257
"262",121.4625724159,24.9949639637
"263",121.5615776783,25.0534755656
"264",121.5367866236,25.0273037612
"265",121.4583981894,25.0306012932
"266",121.4498219797,25.0124637519
"267",121.5344866887,25.0169145375
"268",121.5807991034,25.0253032250
"269",121.5149394826,24.9967134048
"270",121.4496614382,25.0196424184
"271",121.4783925187,25.0249538140
"272",121.4713324981,25.0359559762
"273",121.5562093958,25.0431038141
"274",121.5342215864,25.0335127584
"275",121.4889770983,25.0039342014
"276",121.4824321652,24.9779111145
"277",121.5479399727,25.0512296012
"278",121.5589650457,25.0826278349
"279",121.4459599596,25.0128137727
"280",121.5279003824,25.0452242669
"281",121.5862686073,25.0360778732
"282",121.4433966564,24.9956502331
"283",121.5817868496,25.0244990533
"284",121.4993527164,24.9872606652
"285",121.5756057593,25.0371748574
"286",121.5646928061,25.0775614299
"287",121.4901183782,24.9883660242
"288",121.4589447321,25.0121310232
"289",121.4995159502,24.9776611884
"290",121.4608515996,25.0095918264
"291",121.5525774059,25.0121719156
"292",121.4656076957,25.0347936836
"293",121.5640574970,25.0350219082
"294",121.5220816778,25.0516990879
"295",121.5151740092,24.9943482267
"296",121.4533867264,25.0183614391
"297",121.4528640632,25.0116532174
"298",121.5151657384,24.9872434265
"299",121.5424528434,25.0592745911
"300",121.5614953380,25.0193096291
"301",121.4902023837,24.9847541533
"302",121.5369709015,25.0226647858
"303",121.5473812354,25.0379763943
"304",121.5603531376,25.0234731497
"305",121.5242247806,24.9883897762
"306",121.5217081374,25.0755547432
"307",121.5709360967,25.0444266079
"308",121.5156638213,25.0390765150
"309",121.5838400086,25.0330043141
"310",121.5516676631,25.0353511880
