id,x,y
"0",121.5677874521,25.1870387698
"1",121.6083815010,25.0940176872
"2",121.6026698504,24.9625923966
"3",121.4746568311,25.0414106016
"4",121.5814941937,24.9426315440
"5",121.5481788097,25.1078660106
"6",121.5259377826,24.9786825726
"7",121.4721138018,25.0417693099
"8",121.5662743243,24.9279385255
"9",121.5682128165,25.1329071444
"10",121.6072103647,24.9614273780
"11",121.5763823509,25.0543792257
"12",121.4621906019,25.1119665716
"13",121.5298738491,24.9104714287
"14",121.5910163339,25.0013931712
"15",121.5254073010,24.9209457611
"16",121.3398798213,25.1052811478
"17",121.5607827748,25.1508286037
"18",121.4427808987,25.0344373899
"19",121.5640281433,24.9964158849
"20",121.4707596791,24.9369180874
"21",121.4937915216,24.9163302719
"22",121.5790300460,25.1249316336
"23",121.4773611115,25.0759293688
"24",121.5759997531,24.9620546075
"25",121.5644303379,24.8992390443
"26",121.5956503803,24.9574262191
"27",121.3868021359,25.0832225982
"28",121.5706598315,25.1883360440
"29",121.5610861262,25.0079948283
"30",121.5061313855,24.9275766728
"31",121.4280576357,25.0112560292
"32",121.5895640028,25.0898916838
"33",121.5691708187,25.0897062975
"34",121.5998564366,25.0394533050
"35",121.3616616067,25.0749719381
"36",121.5773678858,25.0002109267
"37",121.4696679025,25.0945922524
"38",121.5034742903,25.0382848977
"39",121.5794175870,24.9941468788
"40",121.6172018041,25.0326552931
"41",121.5520070868,24.9857711125
"42",121.3741060255,25.0780098101
"43",121.5829845824,25.1077243415
"44",121.5696789329,25.0861016580
"45",121.5636744890,25.1259775094
"46",121.5164103820,24.9402401732
"47",121.5788139062,25.1087065956
"48",121.4606302353,25.0796012371
"49",121.4827651660,25.0584379826
"50",121.5573405871,24.9539804166
"51",121.3216721286,25.1215766167
"52",121.5507066687,24.8930477236
"53",121.5764536213,25.1406057671
"54",121.5239557056,24.8971977899
"55",121.5856242683,25.0912335901
"56",121.6121151087,25.0835635452
"57",121.5038199270,24.8856937558
"58",121.5189522602,24.9806754414
"59",121.5654677272,25.0835575795
"60",121.5631027698,24.9083627533
"61",121.4725215028,25.0825971498
"62",121.4977647331,25.0701357287
"63",121.4878857647,24.8811164775
"64",121.4925455405,25.0321406148
"65",121.6260096415,25.0208136532
"66",121.5776832296,25.1226948558
"67",121.5655302057,24.9210803578
"68",121.5809632233,25.0139499134
"69",121.5744263200,25.0024729909
"70",121.5245161425,25.1011381472
"71",121.5909189366,25.0178492259
"72",121.3073776170,25.1240816624
"73",121.4837817823,25.0616431675
"74",121.5278809755,25.1058028751
"75",121.5051601956,24.9570977275
"76",121.4667995077,24.9348189122
"77",121.5194533342,25.0558819603
"78",121.6621696996,25.0242772950
"79",121.5245846379,24.9326504278
"80",121.5914693296,25.0729438776
"81",121.5245832803,24.9130950510
"82",121.3670330462,25.0988239871
"83",121.5771743504,24.8938635309
"84",121.5760522116,24.9099798559
"85",121.5490090559,24.9939751419
"86",121.5778998764,24.9157650704
"87",121.4957834018,25.1028161900
"88",121.5826575897,25.0995683164
"89",121.6029053563,25.1289387141
"90",121.5908250397,24.9694512543
"91",121.5510297547,24.9575650837
"92",121.6138513850,25.0844655660
"93",121.5961193031,24.9766659588
"94",121.4919915244,24.8873335281
"95",121.3693479240,25.0721554768
"96",121.5165234963,24.9507689583
"97",121.5683546675,25.1839647354
"98",121.5461645820,25.1233971996
"99",121.5976417561,25.0215208123
"100",121.5587074975,24.8959220643
"101",121.6150669364,25.0768513928
"102",121.4938981388,24.8718778887
"103",121.5833598953,24.9491332893
"104",121.5021713222,24.9010234699
"105",121.5737904818,24.9332916730
"106",121.5242869636,24.9238570909
"107",121.5024480961,25.0518102705
"108",121.5293433713,24.9393070595
"109",121.4007559186,25.0694732095
"110",121.6112512596,25.0317978270
"111",121.3654564159,25.1369346656
"112",121.5933533193,25.0293077107
"113",121.5297477185,24.9282368631
"114",121.3613291613,25.1156515168
"115",121.5627536076,25.1157716280
"116",121.5854874405,24.9425345034
"117",121.4755852308,24.9528507438
"118",121.4159800851,25.0196157649
"119",121.6099132792,25.0255275294
"120",121.4772817483,25.0483612918
"121",121.6079947244,25.0386412480
"122",121.5069622842,25.0739850692
"123",121.5217814655,24.9497192857
"124",121.5110453218,25.0759829753
"125",121.5638968888,24.8986902913
"126",121.6017624269,25.0290530027
"127",121.5328195247,24.9903503397
"128",121.6164851471,25.0444977328
"129",121.4960644419,24.9115295018
"130",121.5706113882,24.9128706945
"131",121.5443800455,25.0973531095
"132",121.4698547219,25.0473684627
"133",121.5076609602,24.8944043934
"134",121.5724605182,25.0901460363
"135",121.5835551194,25.1400122214
"136",121.5864875902,25.1310242853
"137",121.5311306436,24.9418948859
"138",121.3527240463,25.1208685866
"139",121.5812926147,24.9786323992
"140",121.5028418408,24.8801970393
"141",121.6193216116,25.0257784790
"142",121.4424356796,25.0491639370
"143",121.4959010501,25.0243935219
"144",121.5678193333,24.9751238029
"145",121.4798453766,25.1017490673
"146",121.5652582291,25.1128367692
"147",121.5982226830,24.9800458991
"148",121.4992015797,24.9630722472
"149",121.5295497218,24.9330394008
"150",121.5662663685,25.1311135156
"151",121.4324517699,25.0065662202
"152",121.4883293519,24.9352731891
"153",121.4949377446,24.9493911899
"154",121.3713552971,25.1151031016
"155",121.5197606991,24.9826518911
"156",121.3164146662,25.1025528318
"157",121.3688825830,25.1029082707
"158",121.5282978907,24.9655509262
"159",121.5895102514,25.0159361726
"160",121.5461582423,24.9552520297
"161",121.6148303320,25.0768972246
"162",121.5314565321,24.9550397188
"163",121.5740219381,25.0599033163
"164",121.5758658508,25.1467311947
"165",121.6102107859,25.0575734073
"166",121.5520128701,24.9829818901
"167",121.5179261229,25.0591920419
"168",121.4390006498,25.0219081937
"169",121.5014739545,24.9152843710
"170",121.5841668929,25.1535344634
"171",121.5994803267,24.9586974486
"172",121.3022505509,25.1242716037
"173",121.3577101151,25.1221990189
"174",121.5058007350,25.0757718376
"175",121.4123839419,25.0285328191
"176",121.5304176573,24.9492193038
"177",121.4342645992,25.0148875112
"178",121.5553599327,24.9058692972
"179",121.3338805338,25.1020989483
"180",121.5427267701,24.9877938432
"181",121.3374227007,25.1160107650
"182",121.4323142828,25.0177570973
"183",121.5964311307,24.9960751713
"184",121.5514435029,24.9947178722
"185",121.3704029791,25.0962803906
"186",121.4922121752,25.1130362852
"187",121.4968135666,25.0260349810
"188",121.5150384073,24.8891166117
"189",121.3734152762,25.1172084722
"190",121.5321265147,25.0953442209
"191",121.4961526930,24.9288541727
"192",121.5507410940,24.9858639237
"193",121.5401011741,25.1373477455
"194",121.6069896194,25.0371396159
"195",121.5063987807,24.8798008359
"196",121.6062476742,25.0204390358
"197",121.5034708631,25.0265386135
"198",121.5268331344,24.9763470393
"199",121.5047820151,24.9163638802
"200",121.5010877129,24.9081190128
"201",121.5071684403,24.9558278434
"202",121.3935151295,25.0780658554
"203",121.4441753090,25.0416369385
"204",121.5741356967,25.1681188736
"205",121.4981450235,25.0797296060
"206",121.4930600367,24.9377188607
"207",121.5521078835,24.9124170192
