A1,A2a,A2a1,A3_1,A3_2,A3_3,A3_4,A3_5,A4_1,A4_2,A4_3,A4_4,A4_5,A4_6,A4_7,A4_8,A4_9,A5,A5a,A6,A61,B1,B1a,B2,B2a,B3_1,B3_2,B3_3,B3_4,B3_5,B3_6,B3_7,B3_8,B3_9,B3_10,B3_11,B4,B4a,B5,B5a,B6,B6a,B7,B7a,B8,B8a,B9,B10,B102,B103,B104,B105,B11,B111,B112_1,B112_2,B112_3,B112_4,B112_5,B112_6,B112_7,B112_8,B112_9,B112_10,B112_11,B112_12,B112_13,B112_14,B112_15,C1,C1a,C1b,C1c,C1d,C2,C2a,C3,C4_1,C4_2,C4_3,C4_4,C4_5,C4_6,C5,C61,C61a,C62,C62a,C63,C63a,C64,C64a,C7,C8,C8a,E1,E2,E2Y,E2M,E3,E4,E5,E7,E8a,E8b,code,YY,CC,CITY,ENERGY_CODE,TY,WI
1,,,1,,,,,1,1,1,,1,,,,,2,,1,,2,,4,,,,,,1,1,1,1,1,1,1,4,,2,,4,,2,,1,,2,1,,,,,2,1,,,,,,,,,,,,,,,,1,50,,3000,200,4,,4,1,,,,,1,1,1,,1,,2,900,2,3500,2,5,,1,10,43,1,3,7,4,1,2,1,110001,2010,1987,1,1,1,70
1,,,1,,,,,1,,,,,,,,,2,,1,,3,,3,,,,1,,1,,1,,,,,3,,3,,2,,2,,4,,2,2,,2,,,2,,1,,,,,,,,1,,,,,,,2,70,,3000,200,4,,4,1,,,,,,1,1,,1,,1,,1,,1,2,,1,10,41,9,2,13,1,1,1,2,110002,2008,1794,1,1,1,70
1,,,1,,,,,1,,,,,,,,,2,,2,2,1,,5,,,,1,,,,,,,,,1,,2,,2,,2,,2,,2,2,,,1,2,2,1,,,,,,,,,1,,,,,,,1,20,,3000,200,1,,1,1,,,,,,1,1,,1,,1,,1,,2,2,,1,10,42,5,3,13,1,1,1,2,110004,2004,1769,1,1,1,70
1,,,1,1,,,,1,,,,1,1,,,,2,,1,,2,,5,,,,1,1,1,,,,,1,,3,,2,,4,,4,,3,,2,1,1,,,,2,1,1,1,1,,1,,,,,,,,,,,2,50,3,3000,200,4,,6,1,,,,,,2,1,,1,,1,,2,2100,2,7,,1,9,,,3,12,1,1,1,18,110008,2011,2362,1,5,1,70
1,,,1,,,,,1,,,,,,,,,2,,1,,3,,3,,,,,,,,,1,,1,,4,,3,,3,,6,,6,,2,2,,2,4,2,2,1,1,,,,,,,,,,,,,,,1,90,,3000,200,9,,6,1,,,,,,2,1,,1,,1,,1,,5,9,,1,10,43,2,2,11,1,1,1,2,110010,2012,2494,1,1,1,70
1,,,1,1,,,,1,1,1,,,1,,,,2,,1,,4,,2,,,,,1,,,,,1,,,5,,3,,3,,5,,3,,2,2,,1,2,,2,1,1,,1,,,,,,1,,,,,1,,2,78.9,3,3000,200,9,,4,1,,,,,,1,1,,1,,1,,1,,3,8,,1,7,,,2,10,4,1,1,2,110011,2013,1987,1,1,1,70
1,,,1,,,,,1,,,,,,,,,2,,1,,6,,2,,,,,1,1,1,1,1,1,1,,6,,2,,2,,6,,4,,3,2,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,50,3,3000,200,9,,4,1,,,,,,2,1,,1,,1,,1,,5,11,,,9,,,3,13,,1,2,1,110012,2011,1987,1,1,1,70
1,,,1,,,,,1,,,,,,,,,2,,1,,4,,2,,,,,1,1,1,1,,,1,,4,,7,,5,,6,,,,3,2,,2,1,2,2,1,1,,,,1,,,,,,,,,,,1,70,,3000,200,6,,3,1,,,,,,1,1,,1,,1,,1,,2,5,,1,9,,,3,13,1,1,1,2,110013,2011,1598,1,1,1,70
1,1,,1,,,,,1,1,,,,,,,,2,,1,,3,,4,,,,,,,1,1,1,1,1,,4,,2,,4,,4,,3,,2,2,,1,1,,2,2,1,,,,,,,,,,,,,,,2,89,4,3000,200,6,,4,1,,,,,,1,1,,1,,1,,1,,3,5,,1,8,,,3,12,,1,1,2,110014,2004,1998,1,5,1,70
1,,,1,,,,,1,,,,1,,,,,1,2,1,,7,,5,,,,1,1,1,,,,,,,3,,2,,3,,3,,3,,3,1,1,,,,1,,,,,,,,,,,,,,,,,2,50,3,3000,200,3,,2,1,1,1,,,,5,1,,1,,1,,2,3000,6,7,,1,9,,,3,8,1,1,2,1,110015,2014,1987,1,1,1,70
1,,,1,,,,,1,,,,,,,,,2,,1,,4,,,,,,1,1,,,1,1,,,,5,,7,,4,,4,,3,,2,2,,,1,2,2,1,,,,,,,,,,,,,,,,1,80,,3000,200,5,,3,,,1,,,,1,1,,1,,1,,1,,6,7,,,10,43,12,1,13,1,1,2,1,110016,2013,1987,1,1,1,70
1,,,1,,,,,1,,,,,1,,,,1,2,1,,3,,6,,,,,,,1,1,1,,,,2,,2,,1,,4,,3,,2,2,,2,1,2,2,1,1,,,,,,,,,,,,,,,1,87,,3000,200,4,,6,1,,,,,,1,1,,1,,1,,1,,5,9,,2,9,,,3,11,1,1,2,1,110017,2014,1987,1,1,1,70
1,,,1,,,,,1,,,,1,,,,,2,,1,,2,,4,,,,,1,1,1,1,,1,,,5,,5,,4,,8,,5,,2,1,1,,,,2,1,1,,,,,,,,,,,,,,,2,83,3,3000,200,6,,5,1,,1,,,,5,1,,1,,1,,2,3000,2,11,,1,9,,,3,13,1,1,2,1,110018,2012,1987,1,5,1,70
1,,,1,,,,,1,1,,,,,,,,2,,1,,2,,2,,,,,1,1,,1,1,1,,,4,,5,,2,,3,,3,,2,2,,2,3,3,2,2,1,1,,,,,,,,,,,,,,2,50,2,3000,200,4,,4,1,,1,,,,2,1,,1,,1,,1,,5,4,,1,10,,,3,12,1,1,1,2,110020,2010,1987,1,1,1,70
1,,,1,,,,,1,,,,1,,,,,2,,1,,4,,2,,,,1,1,1,1,1,,,,,4,,7,,6,,3,,2,,3,1,,,,,2,2,,,,,1,,,,,,,,,,,2,70,3,3000,200,2,,6,1,1,,,,,1,1,,1,,1,,2,3000,2,10,,1,7,,,2,11,1,1,2,1,110021,2013,1798,1,1,1,70
1,,,1,,,,,,,1,,,1,,,,2,,1,,4,,3,,1,1,,,,,,,,,1,3,,2,,1,,4,,4,,3,2,,,4,,2,1,1,1,,,,,,,,,,,,,,2,65,3,3000,200,4,,4,1,,,,,,1,1,,1,,1,,1,,5,12,,,10,44,3,3,7,4,1,1,2,110022,2010,1798,1,1,1,70
